Adv Roll No,SC
251090461,1912
256036014,1913
251006186,1914
257043043,1915
254011056,1916
254054143,1917
254002189,1918
254025200,1919
254037225,1920
256145450,1921
252011299,1922
252010149,1923
251007232,1924
253026047,1925
255063295,1926
257001202,1927
255037183,1928
257031141,1929
252027360,1930
252004204,1931
255064134,1932
252092142,1933
256169607,1934
252083140,1935
252050129,1936
251097101,1937
251121159,1938
252014188,1939
252021246,1940
255064006,1941
257050150,1942
255064464,1943
256176033,1944
256158081,1945
254007014,1946
254043365,1947
256170436,1948
251118399,1949
257024096,1950
252064282,1951
252053286,1952
254040320,1953
251145008,1954
256039135,1955
251147132,1956
256059154,1957
255066463,1958
255064051,1959
256022079,1960
257020295,1961
252034141,1962
251127043,1963
251146128,1964
257051067,1965
256014163,1966
257010020,1967
257016694,1968
256018089,1969
254003327,1970
255053082,1971
254022276,1972
252043043,1973
252099004,1974
254038057,1975
251082111,1976
254011485,1977
256057329,1978
256098145,1979
256191140,1980
251068389,1981
251101354,1982
255065222,1983
252010315,1984
254049009,1985
255066398,1986
256004061,1987
256168162,1988
257030297,1989
255021409,1990
256035299,1991
255014044,1992
252088182,1993
255063380,1994
256174143,1995
255023322,1996
252047185,1997
251117618,1998
251109222,1999
256147075,2000
252060206,2001
255017434,2002
256188006,2003
251145252,2004
252052048,2005
252104312,2006
254020430,2007
254008044,2008
255018350,2009
257045388,2010
253031011,2011
252032055,2012
257007093,2013
253024077,2014
256171176,2015
254014318,2016
252038336,2017
257020445,2018
252029011,2019
256156064,2020
256149022,2021
253049445,2022
255056104,2023
252004250,2024
256142067,2025
257046165,2026
255053043,2027
256122262,2028
252042079,2029
254029047,2030
253026153,2031
256139054,2032
256156037,2033
256028213,2034
251143026,2035
252088057,2036
251072269,2037
254003272,2038
253049542,2039
256041052,2040
254055114,2041
254040302,2042
252008071,2043
256135016,2044
256071274,2045
257001326,2046
252102357,2047
256125266,2048
252038255,2049
252032440,2050
255063114,2051
256055105,2052
256011007,2053
254065045,2054
256060145,2055
252105073,2056
252074091,2057
254018029,2058
254012199,2059
257002251,2060
252102243,2061
252102380,2062
257028047,2063
256071242,2064
256168267,2065
257018156,2066
251125211,2067
254039053,2068
252059371,2069
257038305,2070
254018229,2071
255056148,2072
251122053,2073
255065165,2074
251119011,2075
251072259,2076
251068191,2077
251117655,2078
256147043,2079
257038027,2080
251055038,2081
257023426,2082
251142074,2083
254058049,2084
257023102,2085
257020347,2086
251085122,2087
256158097,2088
251020076,2089
256095603,2090
256051316,2091
251005071,2092
252010195,2093
251013048,2094
254014311,2095
252079363,2096
255065093,2097
255038060,2098
256150140,2099
257024159,2100
257029128,2101
256108056,2102
257029061,2103
255018253,2104
257040146,2105
252008014,2106
251016193,2107
252094086,2108
256134006,2109
255058287,2110
253014190,2111
255064454,2112
251086025,2113
